what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --accept-bad-sysid, --sidp=0x8000020, /cygdrive/c/Users/adminbistec/Desktop/CO503/Lab_01/Part_02/software/JPEG_Encoder/JPEG_Encoder.elf] return code: 4, 'other error'",1712138099705
error,log,,,"Downloading ELF Process failed",1712138099705
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712138099720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712138177813
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1712138178406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1712138178782
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1712138179079
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712138179533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712138182556
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1712138187752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712138206116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712138246413
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1712138249571
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1712138264352
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1712138265930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712138269941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712138271583
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1712138271677
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712138271787
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1712138272306
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1712139374024
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1712139374024
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1712139374024
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1712139374024
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1712139374024
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1712139374024
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1712139374024
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1712139374024
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1712139374024
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1712139374024
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1712139374024
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1712139374024
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1712139374024
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1712139374024
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1712139374024
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1712139374024
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1712139374024
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1712139374024
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1712139374024
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1712139374024
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1712139374024
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1712139374024
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1712139374024
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1712139374024
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1712139374024
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1712139374024
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1712139374024
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1712139374024
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1712139374024
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1712139374039
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1712139374039
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1712139374039
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1712139374039
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1712139374039
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1712139374039
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1712139374039
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1712139374039
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1712139374039
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1712139374039
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1712139374039
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1712139374039
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1712139374039
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1712139374039
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1712139374039
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1712139374039
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1712139374039
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1712139374039
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1712139374039
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1712139374039
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1712139374039
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1712139374039
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1712139374039
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1712139374039
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1712139374039
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1712139374039
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1712139374039
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1712139374039
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1712139374039
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1712139374039
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1712139374039
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1712139374039
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1712139374039
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1712139374039
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1712139374039
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1712139374039
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1712139374039
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1712139374039
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1712139374039
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1712139374039
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1712139374039
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1712139374039
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1712139374039
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1712139374039
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1712139374039
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1712139374039
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1712139374039
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1712139374039
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1712139374039
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1712139374039
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1712139374039
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1712139374039
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1712139374039
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1712139374039
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1712139374039
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1712139374039
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1712139374039
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1712139374054
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1712139374054
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1712139374054
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1712139374054
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1712139374054
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1712139374054
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1712139374054
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1712139374054
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1712139374054
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1712139374054
os,sysinfo,,,"win32",1712139374054
arch,sysinfo,,,"x86",1712139374054
ws,sysinfo,,,"win32",1712139374054
locale,sysinfo,,,"en_US",1712139374054
processors,sysinfo,,,"8",1712139374054
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1712139374054
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1712139374054
java.specification.name,sysinfo,,,"Java Platform API Specification",1712139374054
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1712139374054
java.specification.version,sysinfo,,,"1.6",1712139374054
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1712139374054
java.version,sysinfo,,,"1.6.0_23",1712139374054
java.vm.info,sysinfo,,,"mixed mode",1712139374054
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1712139374054
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1712139374054
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1712139374054
java.vm.specification.version,sysinfo,,,"1.0",1712139374054
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1712139374054
java.vm.version,sysinfo,,,"19.0-b09",1712139374054
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1712139374135
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1712139375174
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1712139375612
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1712139375737
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1712139377959
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1712139378953
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1712139378969
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1712139378969
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1712139378969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712139379001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712139391061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712139396500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712139397575
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1712139402189
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1712139402189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712139403893
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712139405132
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1712139405762
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1712139405762
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1712139407644
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1712139407755
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1712139407770
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --accept-bad-sysid, --sidp=0x8000020, /cygdrive/c/Users/adminbistec/Desktop/CO503/Lab_01/Part_02/software/JPEG_Encoder/JPEG_Encoder.elf] return code: 4, 'other error'",1712139414113
error,log,,,"Downloading ELF Process failed",1712139414113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712139414253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1712139426732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712139459216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712139462253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712139464424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712139468410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712139473607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712139474154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712139477629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712139483709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712139485016
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1712139485368
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1712139487182
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1712139487353
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --accept-bad-sysid, --sidp=0x8000020, /cygdrive/c/Users/adminbistec/Desktop/CO503/Lab_01/Part_02/software/JPEG_Encoder/JPEG_Encoder.elf] return code: 4, 'other error'",1712139493832
error,log,,,"Downloading ELF Process failed",1712139493832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712139493848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712139504804
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1712139597570
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1712139610410
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1712139615181
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1712139616412
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1712139623524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712139647816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712139648742
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1712139659137
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1712139662124
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1712139662395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712139663861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712140403601
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1712140409885
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1712140411903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712140415125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712140751844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712140753773
